I_rho,I_theta,I_sigma,I_E,I_B,I_H,I_M,C2_weyl,rho_mean,theta_mean,Q_D,Q_var,Q_shear,I_Q_derived,I_Q_var,I_Q_shear,model,t,I_rho_norm,I_theta_norm,I_sigma_norm,I_E_norm,I_B_norm,D_FLRW,I_rho_driver_fraction,I_theta_driver_fraction,I_sigma_driver_fraction,I_E_driver_fraction,I_B_driver_fraction,dominant_driver,regime,I_Q_recon,PC1,PC2
0.0,0.0,0.00525833333331644,9.584541666468858e-05,0.0,0.0,0.0,7.428766167905977e-05,0.07781578170384662,0.5579096045197741,-0.0032734505503420326,3.700743415417188e-17,-0.0032734505503420695,0.010516666666632762,1.1889437252874355e-16,0.01051666666663288,Bianchi-I,3.584810126582278,0.0,0.0,0.015774999999957046,0.0003234782812434792,0.0,0.0032196956562401046,0.0,0.0,0.982098950721971,0.017901049091258923,0.0,I_sigma,weak anisotropy-dominated,0.01051666666663288,0.3802700252944366,-0.46859469123378966
3.378185678954653e-32,0.0,0.005258333333315924,9.58454166645705e-05,0.0,0.0,0.0,6.994203890524223e-05,0.07550548204158222,0.5495652173913044,-0.0031762639445494655,0.0,-0.0031762639445494655,0.010516666666631848,0.0,0.010516666666631848,Bianchi-I,3.6392405063291138,6.744210255146075e-31,0.0,0.015774999999955498,0.0003234782812430807,0.0,0.0032196956562397156,6.309437611390946e-30,0.0,0.9820989507219909,0.017901049091238987,0.0,I_sigma,weak anisotropy-dominated,0.010516666666631848,0.3802700252944399,-0.46859469123379077
0.0,4.204137008745193e-32,0.005258333333315393,9.584541666443406e-05,0.0,0.0,0.0,6.590957850332755e-05,0.07329656251922602,0.5414667580534614,-0.003083342063309074,-7.401486830834377e-17,-0.0030833420633089997,0.01051666666663104,2.5244999821332485e-16,0.010516666666630786,Bianchi-I,3.6936708860759495,0.0,8.679366766203168e-30,0.015774999999953906,0.00032347828124262027,0.0,0.0032196956562393054,0.0,7.852066963539134e-30,0.9820989507220143,0.017901049091215742,0.0,I_sigma,weak anisotropy-dominated,0.010516666666630786,0.38027002529444326,-0.468594691233792
3.800893928696272e-32,4.328955290981476e-32,0.005258333333314867,9.584541666429939e-05,0.0,0.0,0.0,6.216358536014583e-05,0.07118317709190039,0.5336035123269166,-0.002994438982999453,3.700743415417188e-17,-0.00299443898299949,0.010516666666629603,1.299725429024514e-16,0.010516666666629733,Bianchi-I,3.7481012658227844,7.5881050506874605e-31,8.937051910241683e-30,0.015774999999952327,0.0003234782812421657,0.0,0.003219695656238899,7.098929836814224e-30,8.085190077357432e-30,0.9820989507220371,0.0179010490911928,0.0,I_sigma,weak anisotropy-dominated,0.010516666666629733,0.38027002529444676,-0.4685946912337931
0.0,0.0,0.00525833333331433,9.5845416664159e-05,0.0,0.0,0.0,5.867998189901247e-05,0.06915989510656419,0.525965379494008,-0.00290932625414967,0.0,-0.00290932625414967,0.01051666666662866,0.0,0.01051666666662866,Bianchi-I,3.80253164556962,0.0,0.0,0.015774999999950717,0.0003234782812416919,0.0,0.003219695656238482,0.0,0.0,0.9820989507220611,0.017901049091168842,0.0,I_sigma,weak anisotropy-dominated,0.01051666666662866,0.38027002529445025,-0.4685946912337943
1.7048333347858845e-31,4.584069507574547e-32,0.005258333333313777,9.584541666401502e-05,0.0,0.0,0.0,5.5437018822814595e-05,0.06722166637997462,0.5185428290121432,-0.0028277914323845323,-7.401486830834377e-17,-0.002827791432384458,0.01051666666662783,2.7526418301537574e-16,0.010516666666627554,Bianchi-I,3.856962025316456,3.403529454110916e-30,9.463730714590342e-30,0.01577499999994906,0.000323478281241206,0.0,0.003219695656238053,3.184117329804396e-29,8.561666916214544e-30,0.9820989507220856,0.01790104909114428,0.0,I_sigma,weak anisotropy-dominated,0.010516666666627554,0.3802700252944539,-0.46859469123379555
0.0,4.7143654419313373e-32,0.005258333333313222,9.584541666386427e-05,0.0,0.0,0.0,5.241502132608119e-05,0.06536378965448197,0.5113268608414241,-0.002749636751465537,-1.4802973661668753e-16,-0.0027496367514653892,0.01051666666662701,5.661763852685417e-16,0.010516666666626444,Bianchi-I,3.9113924050632907,0.0,9.732724374900486e-30,0.015774999999947394,0.0003234782812406972,0.0,0.003219695656237618,0.0,8.805020641253358e-30,0.9820989507221114,0.017901049091118483,0.0,I_sigma,weak anisotropy-dominated,0.010516666666626444,0.3802700252944575,-0.46859469123379677
4.7640213585833876e-32,0.0,0.005258333333312658,9.584541666368924e-05,0.0,0.0,0.0,4.9596166008748256e-05,0.06358188406335617,0.5043089690392596,-0.002674677922932057,-3.700743415417188e-17,-0.00267467792293202,0.010516666666625462,1.4551092146446917e-16,0.010516666666625317,Bianchi-I,3.9658227848101264,9.510892755970478e-31,0.0,0.0157749999999457,0.0003234782812401065,0.0,0.0032196956562371612,8.897763000001926e-30,0.0,0.9820989507221416,0.01790104909108826,0.0,I_sigma,weak anisotropy-dominated,0.010516666666625317,0.38027002529446136,-0.4685946912337981
1.1319744215033533e-31,1.2451087406913558e-32,0.005258333333312084,9.584541666353523e-05,0.0,0.0,0.0,4.696428441979157e-05,0.06187186328191533,0.49748110831234266,-0.0026027430487261037,-3.700743415417188e-17,-0.002602743048726067,0.010516666666624317,1.49532566949689e-16,0.010516666666624168,Bianchi-I,4.020253164556962,2.259873857622981e-30,2.5705050529481007e-30,0.01577499999994398,0.00032347828123958667,0.0,0.0032196956562367133,2.1141887003624764e-29,2.3254896756378865e-30,0.982098950722168,0.017901049091061935,0.0,I_sigma,weak anisotropy-dominated,0.010516666666624168,0.3802700252944652,-0.4685946912337993
1.1945340814938245e-31,0.0,0.005258333333311504,9.584541666335901e-05,0.0,0.0,0.0,4.4504689744942916e-05,0.060229912079379805,0.4908356632494565,-0.0025336716348060995,-3.700743415417188e-17,-0.0025336716348060627,0.01051666666662316,1.5360903277279488e-16,0.010516666666623008,Bianchi-I,4.074683544303797,2.3847679695999004e-30,0.0,0.015774999999942238,0.00032347828123899193,0.0,0.003219695656236246,2.2310313813791322e-29,0.0,0.9820989507221983,0.01790104909103155,0.0,I_sigma,weak anisotropy-dominated,0.010516666666623008,0.38027002529446907,-0.46859469123380065
